order_depot_id,order_id,security_id,limit_price,order_side,order_start_date,order_end_date
DR69X7,346294,HL2992390315,  44.159270,S,2022-08-03,2022-08-31
AC53G4,186543,LS2845994895,   4.320995,S,2022-08-05,2022-09-23
BW84V0,897296,HL2992390315,  43.327070,S,2022-08-04,2022-09-03
FT71A4,500490,QG4796190970,  80.007255,S,2022-08-25,2022-08-31
SZ60U1,991016,KT4326069115,  96.585645,S,2022-08-16,2022-09-09
GT20R3,530019,YW7355566192,   2.736090,S,2022-08-12,2022-09-20
ZV04A1,93296,LZ5287191444,  30.267470,B,2022-08-17,2022-09-09
SX92Q7,230693,QG4796190970,  81.448555,S,2022-08-09,2022-09-17
NM84Y5,712868,LZ5287191444,  31.333570,B,2022-08-22,2022-09-19
UE12S6,943833,LZ5287191444,  29.520470,B,2022-08-06,2022-09-20
KY79I3,111886,KT4326069115,  91.028445,B,2022-08-13,2022-09-16
SH49X3,419838,NC4196372804,  34.232620,B,2022-08-28,2022-09-20
YK07X1,400642,QG4796190970,  78.129655,S,2022-08-10,2022-09-10
FF72M7,907435,LZ5287191444,  30.567170,S,2022-08-06,2022-09-23
JJ03N0,34576,QB8062851776,  85.756625,B,2022-08-27,2022-09-22
SA72X5,659869,NC4196372804,  34.890720,B,2022-08-22,2022-09-18
BB68E3,342553,QG4796190970,  76.430855,B,2022-08-26,2022-09-05
GO05G2,421275,LS2845994895,   4.511595,S,2022-07-31,2022-09-04
SF82A6,468800,QB8062851776,  85.576125,S,2022-07-30,2022-09-04
JF06I0,779119,LZ5287191444,  31.402270,S,2022-07-30,2022-09-24
RA99Z7,702217,LS2845994895,   4.463495,S,2022-08-05,2022-09-22
PW60D6,298457,BX2170004165,  53.945715,S,2022-08-24,2022-09-09
ZF95P4,574074,NC4196372804,  33.807320,B,2022-08-02,2022-09-01
GW81T6,711891,NC4196372804,  35.202220,B,2022-08-03,2022-09-25
ZH70R3,278161,NC4196372804,  33.115120,S,2022-08-02,2022-09-05
QH97Z8,597341,KT4326069115,  95.339445,B,2022-08-20,2022-09-04
YH05D4,252601,LS2845994895,   4.302495,B,2022-08-07,2022-09-04
OQ71R6,366724,QB8062851776,  84.353825,S,2022-08-08,2022-09-09
GB07X6,910009,YW7355566192,   2.632790,S,2022-08-14,2022-09-02
LI81T6,479853,LZ5287191444,  28.972770,B,2022-08-16,2022-09-12
AR07T3,96555,HL2992390315,  41.689770,S,2022-08-01,2022-08-30
HV92J2,408734,LS2845994895,   4.680495,S,2022-08-27,2022-09-20
MQ23Z3,917363,QG4796190970,  75.353255,B,2022-08-09,2022-09-10
DO22F7,344931,QG4796190970,  74.471555,B,2022-08-12,2022-09-16
GC60C2,299087,QG4796190970,  78.398955,S,2022-08-16,2022-09-22
NJ33J7,917817,LS2845994895,   4.663695,S,2022-08-20,2022-09-13
IO90I3,787612,HL2992390315,  44.083570,S,2022-07-30,2022-09-23
HV12Z1,503985,LS2845994895,   4.468895,B,2022-08-06,2022-09-02
DT66H9,275443,LS2845994895,   4.676395,B,2022-08-22,2022-09-26
FO56G1,71221,YW7355566192,   2.622690,B,2022-08-20,2022-09-18
GP13Z6,952292,VH7555749842,  81.576510,B,2022-08-13,2022-09-18
BQ37K1,979680,QB8062851776,  81.179225,B,2022-08-10,2022-09-18
IU61K9,613400,NC4196372804,  33.718220,B,2022-08-18,2022-08-31
XZ75F9,41818,QG4796190970,  81.514655,S,2022-08-10,2022-09-22
GL12W8,664342,LZ5287191444,  28.879970,B,2022-08-13,2022-09-14
HV61Y4,9842,HL2992390315,  42.250970,B,2022-08-23,2022-09-16
FY54X8,829096,LZ5287191444,  30.665670,S,2022-08-26,2022-08-31
RU82A9,108847,NC4196372804,  32.417820,S,2022-08-01,2022-09-27
KE50N4,592551,YW7355566192,   2.798890,S,2022-08-28,2022-09-11
RB16B3,983616,BX2170004165,  55.738115,S,2022-08-15,2022-09-27
MO26S1,95821,KT4326069115,  98.235045,S,2022-08-12,2022-09-07
XY70R2,309614,VH7555749842,  77.731210,B,2022-08-27,2022-09-07
OS54V0,828108,QB8062851776,  78.708025,S,2022-08-08,2022-09-15
RZ07M3,416859,KT4326069115,  91.150945,B,2022-08-25,2022-09-25
MI31F1,35380,LZ5287191444,  29.954970,S,2022-08-15,2022-09-20
UL64B5,875809,QG4796190970,  78.269255,B,2022-08-26,2022-09-14
EX26E8,999204,YW7355566192,   2.795090,S,2022-07-30,2022-09-24
QA80W5,575337,QG4796190970,  77.968355,B,2022-08-07,2022-09-21
BX36U5,530474,KT4326069115,  89.225045,B,2022-08-05,2022-09-04
MD76D3,652382,VH7555749842,  80.061810,B,2022-08-07,2022-09-14
GU16U3,819730,QB8062851776,  78.824025,B,2022-08-08,2022-09-26
RA76M1,741776,LZ5287191444,  28.826970,S,2022-08-01,2022-09-17
UX69U2,719675,YW7355566192,   2.653790,S,2022-07-30,2022-09-16
NH70P1,409328,QG4796190970,  75.168955,S,2022-08-25,2022-09-05
OC93M4,180544,QB8062851776,  82.321325,S,2022-07-30,2022-09-06
JM85J0,168843,QG4796190970,  79.474055,B,2022-08-26,2022-09-11
TF57N9,165684,NC4196372804,  34.582620,S,2022-08-28,2022-09-26
RR78H7,482585,QG4796190970,  77.618455,S,2022-08-21,2022-09-24
XF85D3,494926,KT4326069115,  89.937945,B,2022-08-05,2022-09-05
UI87E3,306943,YW7355566192,   2.601990,S,2022-08-13,2022-08-31
JP75G3,127199,QB8062851776,  78.818125,B,2022-08-23,2022-09-22
YO96B0,293670,LS2845994895,   4.479395,S,2022-08-13,2022-09-04
BZ80U3,88980,QG4796190970,  81.937655,B,2022-08-28,2022-09-27
AQ97X0,88696,KT4326069115,  95.758345,S,2022-08-25,2022-09-09
MZ99C7,590387,QG4796190970,  75.039055,S,2022-08-13,2022-09-04
EP97K9,122576,KT4326069115,  91.477145,S,2022-08-04,2022-09-10
KZ36Y3,636999,QB8062851776,  82.576225,S,2022-08-21,2022-09-11
XO21Y5,585591,YW7355566192,   2.764990,B,2022-08-10,2022-08-31
PZ99T4,218860,LS2845994895,   4.424995,S,2022-08-26,2022-08-31
MR93R9,883600,VH7555749842,  81.346910,S,2022-08-21,2022-09-08
DI58I5,707416,LZ5287191444,  29.544370,S,2022-08-25,2022-09-14
IN51P3,451374,LZ5287191444,  30.653670,S,2022-08-18,2022-09-19
XP04D8,432610,QB8062851776,  84.574825,B,2022-08-04,2022-09-11
TT38B9,845788,QG4796190970,  79.892155,B,2022-08-17,2022-09-05
MR34B2,540674,LZ5287191444,  30.327070,S,2022-08-08,2022-09-26
IG22Y9,363610,YW7355566192,   2.804690,B,2022-08-17,2022-09-06
YN23X6,185387,LZ5287191444,  30.312870,S,2022-08-18,2022-09-03
EG53U4,682740,HL2992390315,  43.573870,S,2022-08-23,2022-09-06
YI52A1,424591,LS2845994895,   4.393995,B,2022-08-25,2022-08-30
WO30J5,747077,BX2170004165,  53.745515,S,2022-08-25,2022-09-09
RN47E2,983576,HL2992390315,  42.123570,S,2022-08-08,2022-09-17
SN49J9,921183,QB8062851776,  84.031425,S,2022-08-13,2022-09-20
QN63F7,774861,YW7355566192,   2.733690,S,2022-08-11,2022-09-27
LC28P3,232129,HL2992390315,  42.197770,B,2022-08-13,2022-09-09
EZ78C3,419222,QG4796190970,  76.097255,B,2022-08-15,2022-09-16
GD33M8,396602,YW7355566192,   2.763290,B,2022-08-11,2022-09-24
IR75I2,232051,QB8062851776,  78.302325,S,2022-08-10,2022-09-04
XF41S3,101513,KT4326069115,  98.030845,S,2022-08-15,2022-09-15
IC68H6,309978,QG4796190970,  75.585355,B,2022-08-23,2022-09-09
SD10L9,857256,NC4196372804,  33.803320,B,2022-08-16,2022-09-24
