order_depot_id,order_id,security_id,limit_price,order_side,order_start_date,order_end_date
UQ71R8,74569,VI5933283520,  91.989810,B,2022-08-07,2022-09-19
PJ09P3,97634,UX1049187663,  90.438365,S,2022-08-22,2022-09-14
YJ78S1,831902,SF1140690985,  81.993955,B,2022-08-26,2022-09-30
FJ10Y1,332038,RJ5943891220,  87.641475,B,2022-08-15,2022-09-06
ID88G4,392108,PD3934509783,  45.875765,B,2022-08-08,2022-09-27
MU71S4,224622,HH8088964336,  32.395595,S,2022-08-09,2022-09-16
BQ14G3,405759,OJ0950786728,  37.103980,S,2022-08-09,2022-09-05
GG28P1,851138,NQ1634706067,  14.806300,B,2022-08-23,2022-09-15
OX29X4,364349,MJ9506863771,  92.600100,B,2022-08-31,2022-09-17
WP28S1,457508,YO9774391683,  77.842555,S,2022-08-29,2022-09-13
SM79I7,169287,DZ6634981995,  35.012305,S,2022-08-15,2022-09-11
AL53N1,693947,YU2226350774,  92.863730,S,2022-08-16,2022-09-03
BE41Z5,16624,PU6704526466,  51.681475,S,2022-08-18,2022-09-04
OZ38A5,213264,OH1291621571,  48.742115,S,2022-08-12,2022-09-09
KK48E5,611841,ZP4118369576,  24.037050,B,2022-08-15,2022-09-08
AJ97T0,659094,AF8560541829,  78.341695,B,2022-08-12,2022-09-23
IS44K8,273439,KJ1344481555,   5.622045,S,2022-08-31,2022-09-05
FR58K0,792837,UK4323815263,  68.203600,S,2022-08-04,2022-09-15
DC21T9,565140,HA8229050769,  68.267570,B,2022-08-21,2022-09-20
IM60J5,324488,SI6478087339,  22.026750,B,2022-08-18,2022-09-06
TK24S4,809615,TN6201347635,  57.996775,B,2022-08-20,2022-09-22
VC11S9,597002,KW4133347492,  78.642020,B,2022-08-08,2022-09-26
EC79P1,125190,RP0437387763,  29.594150,S,2022-08-25,2022-09-08
AL53M7,153982,WD6571828026,  31.327395,B,2022-08-17,2022-09-03
VG75J2,63641,FQ2463318576,   2.298655,B,2022-08-07,2022-09-27
LD07V5,716689,SW5668418260,  27.458360,S,2022-08-21,2022-09-17
JI13C8,728191,BO9299199085, 100.768705,S,2022-08-05,2022-09-03
MP27Y5,337378,KX5610000091,  66.335340,B,2022-08-10,2022-09-09
EK76G6,402846,ZK2100390240,  43.744955,B,2022-08-14,2022-09-21
LX75O7,714185,OH2360774316,  69.753000,S,2022-08-06,2022-09-12
HC73J1,920738,ES7381790266,  80.787715,S,2022-08-12,2022-09-16
EA86E0,80979,VO3622786490,   7.338980,S,2022-08-22,2022-09-26
FC47H9,692144,EU3077065229,  52.030565,S,2022-08-17,2022-09-21
AA38P2,925482,PZ5183606350,   9.558205,S,2022-08-31,2022-09-30
PE16G9,62301,HN8017636921,  82.680950,B,2022-08-18,2022-09-27
XK36I7,212356,DQ7434878056,  17.820955,S,2022-08-13,2022-09-12
UC60O0,391020,QV6205018440, 102.691500,S,2022-08-24,2022-09-29
WE40H3,104702,WG3329645588,  65.957645,S,2022-08-09,2022-09-28
DZ94J7,91237,TW9382339596,  55.418220,B,2022-08-10,2022-09-08
HH06H1,87576,UD6196132545,  92.552470,S,2022-08-13,2022-09-03
IL03P3,273075,IY8882043427,  95.449265,B,2022-08-16,2022-09-04
FJ02G8,208110,YE0630958231,  59.074780,B,2022-08-16,2022-09-27
JF19G6,821413,DJ5609006386,  83.931620,S,2022-08-15,2022-09-21
DJ94Q0,690608,GR4600676968,  87.492175,S,2022-08-12,2022-09-09
UW64U3,313709,TN4684286969,  32.641065,S,2022-08-22,2022-09-06
UP29R7,683021,UK3220456560,   2.285065,S,2022-08-05,2022-09-12
DB16Z9,299148,SL8805561382,  43.040955,S,2022-08-04,2022-09-07
LS05B7,543276,WK6395919529,  16.977060,S,2022-08-25,2022-09-04
BB06Z8,723258,MW3283127879,  35.731050,B,2022-08-18,2022-09-13
SA24W4,465446,DC1778362204,  15.470450,B,2022-08-23,2022-09-06
BC92V9,385633,EF2208877139,  67.348295,B,2022-08-03,2022-09-19
YN22I7,636367,HB3206366725,  15.830385,B,2022-08-13,2022-09-13
TB32U8,71742,VL8581126174,   4.083730,B,2022-08-22,2022-09-06
LJ92P8,761973,HO9703172545,  19.934875,S,2022-08-29,2022-09-16
LG45I4,134505,EM4780885896,  29.232850,B,2022-08-17,2022-09-30
YJ35T5,831263,YR1264350452,  28.838375,S,2022-08-07,2022-09-04
DD37J0,511134,KV5149879293,  87.559225,S,2022-08-19,2022-09-16
IR48I2,190893,PK4509286508,   9.552040,B,2022-08-07,2022-09-16
